,RA,DEC,X,Y,F475W_COUNT,F475W_SKY,F475W_RATE,F475W_RATERR,F475W_VEGA,F475W_TRANS,F475W_ERR,F475W_CHI,F475W_SNR,F475W_SHARP,F475W_ROUND,F475W_CROWD,F475W_FLAG,F814W_COUNT,F814W_SKY,F814W_RATE,F814W_RATERR,F814W_VEGA,F814W_TRANS,F814W_ERR,F814W_CHI,F814W_SNR,F814W_SHARP,F814W_ROUND,F814W_CROWD,F814W_FLAG,F275W_COUNT,F275W_SKY,F275W_RATE,F275W_RATERR,F275W_VEGA,F275W_TRANS,F275W_ERR,F275W_CHI,F275W_SNR,F275W_SHARP,F275W_ROUND,F275W_CROWD,F275W_FLAG,F336W_COUNT,F336W_SKY,F336W_RATE,F336W_RATERR,F336W_VEGA,F336W_TRANS,F336W_ERR,F336W_CHI,F336W_SNR,F336W_SHARP,F336W_ROUND,F336W_CROWD,F336W_FLAG,F110W_COUNT,F110W_SKY,F110W_RATE,F110W_RATERR,F110W_VEGA,F110W_TRANS,F110W_ERR,F110W_CHI,F110W_SNR,F110W_SHARP,F110W_ROUND,F110W_CROWD,F110W_FLAG,F160W_COUNT,F160W_SKY,F160W_RATE,F160W_RATERR,F160W_VEGA,F160W_TRANS,F160W_ERR,F160W_CHI,F160W_SNR,F160W_SHARP,F160W_ROUND,F160W_CROWD,F160W_FLAG,index,F275W_ST_FLAG,F275W_GST_FLAG,F336W_ST_FLAG,F336W_GST_FLAG,F475W_ST_FLAG,F475W_GST_FLAG,F814W_ST_FLAG,F814W_GST_FLAG,F110W_ST_FLAG,F110W_GST_FLAG,F160W_ST_FLAG,F160W_GST_FLAG,n_detected,DENSITY
0,23.438228143780975,30.738677368563167,10123.4,6703.08,7140000.0,8068.9,8.15e-09,1.52e-11,20.222,20.730999999999998,0.002,1.45,537.2,0.019,-0.016,0.008,0,21800000.0,13872.12,4.9699999999999995e-08,5.65e-11,18.259,18.265,0.001,0.88,880.2,0.008,0.003,0.002,0,470.6,103.31,3.25e-11,2.6100000000000002e-11,26.219,,0.873,1.48,1.2,0.048,3.013,0.355,0,43321.2,351.89,9.48e-10,2.9399999999999997e-11,22.558000000000003,,0.034,1.71,32.2,0.01,0.207,0.040999999999999995,2,13600000.0,20886.88,8.48e-08,1.0200000000000001e-10,17.679000000000002,,0.001,1.28,832.8,0.045,0.0,0.031,0,15600000.0,23675.7,1.5e-07,1.34e-10,17.062,,0.001,0.76,1118.1,0.01,0.011000000000000001,0.032,0,408104,0,0,1,1,1,1,1,1,1,1,1,1,5,0.25988988102770194
1,23.457088744922853,30.73219299503519,8376.17,6337.88,184475.7,4706.89,2.11e-10,7.01e-12,24.188000000000002,24.842,0.036000000000000004,4.19,30.2,-0.423,0.332,0.005,0,6070000.0,9089.62,1.38e-08,2.8e-11,19.651,19.75,0.002,1.73,492.2,-0.076,0.043,0.002,0,-384.8,39.42,-2.5999999999999997e-11,1.43e-11,,,9.999,1.22,-1.8,-0.8809999999999999,0.258,0.005,0,512.1,124.23,1.13e-11,5.66e-12,27.365,,0.542,1.26,2.0,-0.562,-0.02,0.002,0,10400000.0,20692.96,6.55e-08,6.15e-11,17.96,,0.001,1.19,1064.8,-0.022000000000000002,0.005,0.011000000000000001,0,18000000.0,25254.78,1.73e-07,1.36e-10,16.902,,0.001,1.19,1276.5,-0.013999999999999999,0.006,0.016,0,408108,0,0,0,0,1,1,1,1,1,1,1,1,4,0.25885214724856004
2,23.459103497361486,30.739712790155487,8335.32,7125.71,557811.1,3923.76,6.38e-10,3.3799999999999997e-12,22.987,23.673000000000002,0.006,1.27,188.9,0.015,0.026000000000000002,0.002,0,10300000.0,9117.61,2.3500000000000002e-08,2.1800000000000002e-11,19.074,19.145,0.001,0.92,1075.5,0.008,-0.003,0.001,0,-298.3,4.94,-2.0000000000000002e-11,3.24e-11,,,9.999,1.37,-0.6,2.2,-0.009000000000000001,0.045,2,405.2,97.63,8.84e-12,1.07e-11,27.634,,1.3130000000000002,1.58,0.8,-0.027000000000000003,-0.146,0.0,0,13200000.0,22429.32,8.220000000000001e-08,1.06e-10,17.713,,0.001,1.38,772.3,0.022000000000000002,0.021,0.028999999999999998,0,23300000.0,25003.24,2.23e-07,1.66e-10,16.63,,0.001,0.79,1344.2,0.017,-0.006,0.037000000000000005,0,408110,0,0,0,0,1,1,1,1,1,1,1,1,4,0.22297908088151103
3,23.447459171335197,30.7395441927046,9339.96,6931.1,5990000.0,5968.37,6.84e-09,1.3800000000000002e-11,20.413,20.930999999999997,0.002,1.75,496.4,-0.018000000000000002,0.003,0.001,2,19000000.0,12175.95,4.32e-08,4.06e-11,18.410999999999998,18.417,0.001,1.02,1064.3,-0.012,0.001,0.0,2,604.5,36.91,4.11e-11,3.18e-11,25.965999999999998,,0.841,2.04,1.3,-1.6269999999999998,0.535,0.003,2,38768.3,204.78,8.450000000000001e-10,4.35e-11,22.682,,0.055999999999999994,2.47,19.4,-0.289,0.252,0.001,2,11300000.0,20886.59,7.019999999999999e-08,1.36e-10,17.884,,0.002,1.9,514.8,-0.045,0.011000000000000001,0.039,0,13800000.0,24174.26,1.32e-07,1.35e-10,17.197,,0.001,1.01,981.9,-0.011000000000000001,0.003,0.022000000000000002,0,408111,0,0,1,1,1,1,1,1,1,1,1,1,5,0.24893291248554422
4,23.45568490637659,30.7325338862988,8503.71,6350.78,16170.8,4210.98,1.84e-11,1.65e-12,26.837,27.295,0.09699999999999999,1.35,11.2,0.026000000000000002,0.099,0.084,3,2230000.0,7253.41,5.07e-09,1.3800000000000002e-11,20.737,20.912,0.003,1.12,367.6,-0.022000000000000002,-0.005,0.006,3,-347.6,22.74,-2.3999999999999998e-11,1.73e-11,,,9.999,1.25,-1.4,-3.7889999999999997,9.999,0.015,0,-120.4,116.7,-2.7000000000000002e-12,5.5e-12,,,9.999,1.26,-0.5,0.812,-3.13,0.011000000000000001,0,6030000.0,21188.18,3.76e-08,7.31e-11,18.563,,0.002,1.93,514.3,-0.027000000000000003,-0.013999999999999999,0.025,0,11100000.0,24281.61,1.06e-07,9.119999999999999e-11,17.434,,0.001,1.04,1164.8,0.0,0.01,0.024,0,408114,0,0,0,0,1,1,1,1,1,1,1,1,4,0.2559222423228674
5,23.442622185814177,30.739947227020263,9765.68,6897.92,396591.0,4825.79,4.5400000000000003e-10,7.55e-12,23.358,24.041,0.018000000000000002,3.23,60.1,-0.045,0.134,0.05,2,7930000.0,9183.6,1.8e-08,2.5e-11,19.36,19.435,0.002,1.33,721.7,0.002,0.018000000000000002,0.012,0,1759.5,25.86,1.19e-10,3.94e-11,24.808000000000003,,0.358,2.43,3.0,-0.521,0.22699999999999998,0.016,0,4510.0,181.98,9.84e-11,2.62e-11,25.018,,0.29,3.52,3.7,-0.546,0.316,0.025,0,11100000.0,19636.15,6.92e-08,9e-11,17.9,,0.001,1.25,768.7,-0.009000000000000001,0.001,0.069,0,19200000.0,23108.38,1.8399999999999998e-07,1.6199999999999998e-10,16.838,,0.001,1.05,1137.3,0.006999999999999999,0.005,0.048,0,408139,0,0,0,0,1,1,1,1,1,1,1,1,4,0.2559913232611631
6,23.4424960702717,30.73668419471288,9718.71,6567.47,19600000.0,7593.45,2.23e-08,1.96e-11,19.128,19.082,0.001,1.42,1141.2,0.018000000000000002,0.002,0.0,0,9220000.0,8801.74,2.1e-08,2.0699999999999997e-11,19.197,19.184,0.001,0.9,1010.4,0.01,0.016,0.002,2,1750000.0,372.96,1.2e-07,3.75e-10,17.304000000000002,,0.003,1.59,319.1,-0.018000000000000002,0.011000000000000001,0.0,0,3980000.0,881.51,8.72e-08,1.67e-10,17.649,,0.002,1.46,523.5,-0.006,0.015,0.0,0,2820000.0,19418.69,1.75e-08,7.88e-11,19.39,,0.005,2.13,222.5,-0.052000000000000005,-0.065,0.039,0,1900000.0,21211.93,1.81e-08,6.100000000000001e-11,19.352999999999998,,0.004,1.15,297.7,-0.026000000000000002,-0.032,0.084,0,408148,1,1,1,1,1,1,1,1,1,1,1,1,6,0.27101415696101633
7,23.45288667238455,30.733374498127947,8760.79,6392.72,77085.9,4312.95,8.78e-11,2.2e-12,25.141,25.776999999999997,0.027000000000000003,1.7,39.8,-0.20600000000000002,0.20800000000000002,0.021,2,3120000.0,7418.44,7.0799999999999995e-09,1.26e-11,20.375,20.484,0.002,0.91,563.2,-0.023,0.009000000000000001,0.01,2,115.7,21.91,7.960000000000001e-12,1.4699999999999998e-11,27.748,,2.0069999999999997,1.36,0.5,0.258,2.157,0.003,0,-395.8,123.43,-8.7e-12,4.74e-12,,,9.999,1.27,-1.8,0.5,-1.035,0.016,2,6180000.0,20808.52,3.86e-08,4.51e-11,18.534000000000002,,0.001,1.18,855.6,-0.008,-0.008,0.05,0,11000000.0,23619.96,1.06e-07,8.590000000000001e-11,17.438,,0.001,0.89,1232.5,0.006999999999999999,-0.002,0.057999999999999996,0,408152,0,0,0,0,1,1,1,1,1,1,1,1,4,0.2552968533340735
8,23.45301525472818,30.735538469232164,8788.07,6612.55,196679.5,4175.12,2.25e-10,2.39e-12,24.121,24.785999999999998,0.012,1.38,94.0,-0.086,0.19699999999999998,0.027000000000000003,0,5650000.0,8824.67,1.29e-08,1.81e-11,19.725,19.817999999999998,0.002,1.07,712.1,-0.019,0.026000000000000002,0.002,0,-221.9,22.13,-1.5e-11,1.43e-11,,,9.999,1.35,-1.1,-3.214,0.474,0.273,2,-280.8,114.07,-6.2e-12,4.7899999999999996e-12,,,9.999,1.27,-1.3,0.991,0.76,0.287,0,8830000.0,22837.47,5.49e-08,1.06e-10,18.151,,0.002,1.67,517.4,0.013000000000000001,0.008,0.023,0,16600000.0,24012.76,1.59e-07,1.5800000000000002e-10,16.999000000000002,,0.001,1.11,1005.0,-0.006,-0.019,0.026000000000000002,0,408156,0,0,0,0,1,1,1,1,1,1,1,1,4,0.2469514531866891
9,23.45644681858384,30.732189470480748,8431.66,6327.73,182492.0,4306.67,2.0799999999999998e-10,2.5699999999999998e-12,24.204,24.878,0.013000000000000001,1.5,80.9,-0.114,0.124,0.043,2,4470000.0,8001.71,1.01e-08,1.5e-11,19.985,20.07,0.002,0.91,674.4,-0.003,0.019,0.012,3,-520.3,31.24,-3.5e-11,1.8800000000000002e-11,,,9.999,1.36,-1.9,0.604,1.431,0.015,0,8.6,130.8,1.95e-13,6.1600000000000004e-12,31.774,,9.999,1.27,0.0,0.767,-1.051,0.005,2,5910000.0,22248.5,3.68e-08,6.27e-11,18.584,,0.002,1.47,587.9,0.005,0.016,0.06,0,10600000.0,26068.65,1.0199999999999999e-07,8.11e-11,17.477,,0.001,0.98,1258.9,0.028999999999999998,-0.001,0.044000000000000004,2,408157,0,0,0,0,1,1,1,1,1,1,1,1,4,0.25804547356583973
